,params
0,exactmw
1,amw
2,lipinskiHBA
3,lipinskiHBD
4,NumRotatableBonds
5,NumHBD
6,NumHBA
7,NumHeavyAtoms
8,NumAtoms
9,NumHeteroatoms
10,NumAmideBonds
11,FractionCSP3
12,NumRings
13,NumAromaticRings
14,NumAliphaticRings
15,NumSaturatedRings
16,NumHeterocycles
17,NumAromaticHeterocycles
18,NumSaturatedHeterocycles
19,NumAliphaticHeterocycles
20,NumSpiroAtoms
21,NumBridgeheadAtoms
22,NumAtomStereoCenters
23,NumUnspecifiedAtomStereoCenters
24,labuteASA
25,tpsa
26,CrippenClogP
27,CrippenMR
28,chi0v
29,chi1v
30,chi2v
31,chi3v
32,chi4v
33,chi0n
34,chi1n
35,chi2n
36,chi3n
37,chi4n
38,hallKierAlpha
39,kappa1
40,kappa2
41,kappa3
42,Phi
43,ABC
44,ABCGG
45,nAcid
46,nBase
47,SpAbs_A
48,SpMax_A
49,SpDiam_A
50,SpAD_A
51,SpMAD_A
52,LogEE_A
53,VE1_A
54,VE2_A
55,VE3_A
56,VR1_A
57,VR2_A
58,VR3_A
59,nAromAtom
60,nAromBond
61,nAtom
62,nHeavyAtom
63,nSpiro
64,nBridgehead
65,nHetero
66,nH
67,nB
68,nC
69,nN
70,nO
71,nS
72,nP
73,nF
74,nCl
75,nBr
76,nI
77,nX
78,ATS0dv
79,ATS1dv
80,ATS2dv
81,ATS3dv
82,ATS4dv
83,ATS5dv
84,ATS6dv
85,ATS7dv
86,ATS8dv
87,ATS0d
88,ATS1d
89,ATS2d
90,ATS3d
91,ATS4d
92,ATS5d
93,ATS6d
94,ATS7d
95,ATS8d
96,ATS0s
97,ATS1s
98,ATS2s
99,ATS3s
100,ATS4s
101,ATS5s
102,ATS6s
103,ATS7s
104,ATS8s
105,ATS0Z
106,ATS1Z
107,ATS2Z
108,ATS3Z
109,ATS4Z
110,ATS5Z
111,ATS6Z
112,ATS7Z
113,ATS8Z
114,ATS0m
115,ATS1m
116,ATS2m
117,ATS3m
118,ATS4m
119,ATS5m
120,ATS6m
121,ATS7m
122,ATS8m
123,ATS0v
124,ATS1v
125,ATS2v
126,ATS3v
127,ATS4v
128,ATS5v
129,ATS6v
130,ATS7v
131,ATS8v
132,ATS0se
133,ATS1se
134,ATS2se
135,ATS3se
136,ATS4se
137,ATS5se
138,ATS6se
139,ATS7se
140,ATS8se
141,ATS0pe
142,ATS1pe
143,ATS2pe
144,ATS3pe
145,ATS4pe
146,ATS5pe
147,ATS6pe
148,ATS7pe
149,ATS8pe
150,ATS0are
151,ATS1are
152,ATS2are
153,ATS3are
154,ATS4are
155,ATS5are
156,ATS6are
157,ATS7are
158,ATS8are
159,ATS0p
160,ATS1p
161,ATS2p
162,ATS3p
163,ATS4p
164,ATS5p
165,ATS6p
166,ATS7p
167,ATS8p
168,ATS0i
169,ATS1i
170,ATS2i
171,ATS3i
172,ATS4i
173,ATS5i
174,ATS6i
175,ATS7i
176,ATS8i
177,AATS0dv
178,AATS1dv
179,AATS2dv
180,AATS3dv
181,AATS4dv
182,AATS5dv
183,AATS0d
184,AATS1d
185,AATS2d
186,AATS3d
187,AATS4d
188,AATS5d
189,AATS0s
190,AATS1s
191,AATS2s
192,AATS3s
193,AATS4s
194,AATS5s
195,AATS0Z
196,AATS1Z
197,AATS2Z
198,AATS3Z
199,AATS4Z
200,AATS5Z
201,AATS0m
202,AATS1m
203,AATS2m
204,AATS3m
205,AATS4m
206,AATS5m
207,AATS0v
208,AATS1v
209,AATS2v
210,AATS3v
211,AATS4v
212,AATS5v
213,AATS0se
214,AATS1se
215,AATS2se
216,AATS3se
217,AATS4se
218,AATS5se
219,AATS0pe
220,AATS1pe
221,AATS2pe
222,AATS3pe
223,AATS4pe
224,AATS5pe
225,AATS0are
226,AATS1are
227,AATS2are
228,AATS3are
229,AATS4are
230,AATS5are
231,AATS0p
232,AATS1p
233,AATS2p
234,AATS3p
235,AATS4p
236,AATS5p
237,AATS0i
238,AATS1i
239,AATS2i
240,AATS3i
241,AATS4i
242,AATS5i
243,ATSC0c
244,ATSC1c
245,ATSC2c
246,ATSC3c
247,ATSC4c
248,ATSC5c
249,ATSC6c
250,ATSC7c
251,ATSC8c
252,ATSC0dv
253,ATSC1dv
254,ATSC2dv
255,ATSC3dv
256,ATSC4dv
257,ATSC5dv
258,ATSC6dv
259,ATSC7dv
260,ATSC8dv
261,ATSC0d
262,ATSC1d
263,ATSC2d
264,ATSC3d
265,ATSC4d
266,ATSC5d
267,ATSC6d
268,ATSC7d
269,ATSC8d
270,ATSC0s
271,ATSC1s
272,ATSC2s
273,ATSC3s
274,ATSC4s
275,ATSC5s
276,ATSC6s
277,ATSC7s
278,ATSC8s
279,ATSC0Z
280,ATSC1Z
281,ATSC2Z
282,ATSC3Z
283,ATSC4Z
284,ATSC5Z
285,ATSC6Z
286,ATSC7Z
287,ATSC8Z
288,ATSC0m
289,ATSC1m
290,ATSC2m
291,ATSC3m
292,ATSC4m
293,ATSC5m
294,ATSC6m
295,ATSC7m
296,ATSC8m
297,ATSC0v
298,ATSC1v
299,ATSC2v
300,ATSC3v
301,ATSC4v
302,ATSC5v
303,ATSC6v
304,ATSC7v
305,ATSC8v
306,ATSC0se
307,ATSC1se
308,ATSC2se
309,ATSC3se
310,ATSC4se
311,ATSC5se
312,ATSC6se
313,ATSC7se
314,ATSC8se
315,ATSC0pe
316,ATSC1pe
317,ATSC2pe
318,ATSC3pe
319,ATSC4pe
320,ATSC5pe
321,ATSC6pe
322,ATSC7pe
323,ATSC8pe
324,ATSC0are
325,ATSC1are
326,ATSC2are
327,ATSC3are
328,ATSC4are
329,ATSC5are
330,ATSC6are
331,ATSC7are
332,ATSC8are
333,ATSC0p
334,ATSC1p
335,ATSC2p
336,ATSC3p
337,ATSC4p
338,ATSC5p
339,ATSC6p
340,ATSC7p
341,ATSC8p
342,ATSC0i
343,ATSC1i
344,ATSC2i
345,ATSC3i
346,ATSC4i
347,ATSC5i
348,ATSC6i
349,ATSC7i
350,ATSC8i
351,AATSC0c
352,AATSC1c
353,AATSC2c
354,AATSC3c
355,AATSC4c
356,AATSC5c
357,AATSC0dv
358,AATSC1dv
359,AATSC2dv
360,AATSC3dv
361,AATSC4dv
362,AATSC5dv
363,AATSC0d
364,AATSC1d
365,AATSC2d
366,AATSC3d
367,AATSC4d
368,AATSC5d
369,AATSC0s
370,AATSC1s
371,AATSC2s
372,AATSC3s
373,AATSC4s
374,AATSC5s
375,AATSC0Z
376,AATSC1Z
377,AATSC2Z
378,AATSC3Z
379,AATSC4Z
380,AATSC5Z
381,AATSC0m
382,AATSC1m
383,AATSC2m
384,AATSC3m
385,AATSC4m
386,AATSC5m
387,AATSC0v
388,AATSC1v
389,AATSC2v
390,AATSC3v
391,AATSC4v
392,AATSC5v
393,AATSC0se
394,AATSC1se
395,AATSC2se
396,AATSC3se
397,AATSC4se
398,AATSC5se
399,AATSC0pe
400,AATSC1pe
401,AATSC2pe
402,AATSC3pe
403,AATSC4pe
404,AATSC5pe
405,AATSC0are
406,AATSC1are
407,AATSC2are
408,AATSC3are
409,AATSC4are
410,AATSC5are
411,AATSC0p
412,AATSC1p
413,AATSC2p
414,AATSC3p
415,AATSC4p
416,AATSC5p
417,AATSC0i
418,AATSC1i
419,AATSC2i
420,AATSC3i
421,AATSC4i
422,AATSC5i
423,MATS1c
424,MATS2c
425,MATS3c
426,MATS4c
427,MATS5c
428,MATS1dv
429,MATS2dv
430,MATS3dv
431,MATS4dv
432,MATS5dv
433,MATS1d
434,MATS2d
435,MATS3d
436,MATS4d
437,MATS5d
438,MATS1s
439,MATS2s
440,MATS3s
441,MATS4s
442,MATS5s
443,MATS1Z
444,MATS2Z
445,MATS3Z
446,MATS4Z
447,MATS5Z
448,MATS1m
449,MATS2m
450,MATS3m
451,MATS4m
452,MATS5m
453,MATS1v
454,MATS2v
455,MATS3v
456,MATS4v
457,MATS5v
458,MATS1se
459,MATS2se
460,MATS3se
461,MATS4se
462,MATS5se
463,MATS1pe
464,MATS2pe
465,MATS3pe
466,MATS4pe
467,MATS5pe
468,MATS1are
469,MATS2are
470,MATS3are
471,MATS4are
472,MATS5are
473,MATS1p
474,MATS2p
475,MATS3p
476,MATS4p
477,MATS5p
478,MATS1i
479,MATS2i
480,MATS3i
481,MATS4i
482,MATS5i
483,GATS1c
484,GATS2c
485,GATS3c
486,GATS4c
487,GATS5c
488,GATS1dv
489,GATS2dv
490,GATS3dv
491,GATS4dv
492,GATS5dv
493,GATS1d
494,GATS2d
495,GATS3d
496,GATS4d
497,GATS5d
498,GATS1s
499,GATS2s
500,GATS3s
501,GATS4s
502,GATS5s
503,GATS1Z
504,GATS2Z
505,GATS3Z
506,GATS4Z
507,GATS5Z
508,GATS1m
509,GATS2m
510,GATS3m
511,GATS4m
512,GATS5m
513,GATS1v
514,GATS2v
515,GATS3v
516,GATS4v
517,GATS5v
518,GATS1se
519,GATS2se
520,GATS3se
521,GATS4se
522,GATS5se
523,GATS1pe
524,GATS2pe
525,GATS3pe
526,GATS4pe
527,GATS5pe
528,GATS1are
529,GATS2are
530,GATS3are
531,GATS4are
532,GATS5are
533,GATS1p
534,GATS2p
535,GATS3p
536,GATS4p
537,GATS5p
538,GATS1i
539,GATS2i
540,GATS3i
541,GATS4i
542,GATS5i
543,BCUTc-1h
544,BCUTc-1l
545,BCUTdv-1h
546,BCUTdv-1l
547,BCUTd-1h
548,BCUTd-1l
549,BCUTs-1h
550,BCUTs-1l
551,BCUTZ-1h
552,BCUTZ-1l
553,BCUTm-1h
554,BCUTm-1l
555,BCUTv-1h
556,BCUTv-1l
557,BCUTse-1h
558,BCUTse-1l
559,BCUTpe-1h
560,BCUTpe-1l
561,BCUTare-1h
562,BCUTare-1l
563,BCUTp-1h
564,BCUTp-1l
565,BCUTi-1h
566,BCUTi-1l
567,BalabanJ
568,SpAbs_DzZ
569,SpMax_DzZ
570,SpDiam_DzZ
571,SpAD_DzZ
572,SpMAD_DzZ
573,LogEE_DzZ
574,SM1_DzZ
575,VE1_DzZ
576,VE2_DzZ
577,VE3_DzZ
578,VR1_DzZ
579,VR2_DzZ
580,VR3_DzZ
581,SpAbs_Dzm
582,SpMax_Dzm
583,SpDiam_Dzm
584,SpAD_Dzm
585,SpMAD_Dzm
586,LogEE_Dzm
587,SM1_Dzm
588,VE1_Dzm
589,VE2_Dzm
590,VE3_Dzm
591,VR1_Dzm
592,VR2_Dzm
593,VR3_Dzm
594,SpAbs_Dzv
595,SpMax_Dzv
596,SpDiam_Dzv
597,SpAD_Dzv
598,SpMAD_Dzv
599,LogEE_Dzv
600,SM1_Dzv
601,VE1_Dzv
602,VE2_Dzv
603,VE3_Dzv
604,VR1_Dzv
605,VR2_Dzv
606,VR3_Dzv
607,SpAbs_Dzse
608,SpMax_Dzse
609,SpDiam_Dzse
610,SpAD_Dzse
611,SpMAD_Dzse
612,LogEE_Dzse
613,SM1_Dzse
614,VE1_Dzse
615,VE2_Dzse
616,VE3_Dzse
617,VR1_Dzse
618,VR2_Dzse
619,VR3_Dzse
620,SpAbs_Dzpe
621,SpMax_Dzpe
622,SpDiam_Dzpe
623,SpAD_Dzpe
624,SpMAD_Dzpe
625,LogEE_Dzpe
626,SM1_Dzpe
627,VE1_Dzpe
628,VE2_Dzpe
629,VE3_Dzpe
630,VR1_Dzpe
631,VR2_Dzpe
632,VR3_Dzpe
633,SpAbs_Dzare
634,SpMax_Dzare
635,SpDiam_Dzare
636,SpAD_Dzare
637,SpMAD_Dzare
638,LogEE_Dzare
639,SM1_Dzare
640,VE1_Dzare
641,VE2_Dzare
642,VE3_Dzare
643,VR1_Dzare
644,VR2_Dzare
645,VR3_Dzare
646,SpAbs_Dzp
647,SpMax_Dzp
648,SpDiam_Dzp
649,SpAD_Dzp
650,SpMAD_Dzp
651,LogEE_Dzp
652,SM1_Dzp
653,VE1_Dzp
654,VE2_Dzp
655,VE3_Dzp
656,VR1_Dzp
657,VR2_Dzp
658,VR3_Dzp
659,SpAbs_Dzi
660,SpMax_Dzi
661,SpDiam_Dzi
662,SpAD_Dzi
663,SpMAD_Dzi
664,LogEE_Dzi
665,SM1_Dzi
666,VE1_Dzi
667,VE2_Dzi
668,VE3_Dzi
669,VR1_Dzi
670,VR2_Dzi
671,VR3_Dzi
672,BertzCT
673,nBonds
674,nBondsO
675,nBondsS
676,nBondsD
677,nBondsT
678,nBondsA
679,nBondsM
680,nBondsKS
681,nBondsKD
682,RNCG
683,RPCG
684,C1SP1
685,C2SP1
686,C1SP2
687,C2SP2
688,C3SP2
689,C1SP3
690,C2SP3
691,C3SP3
692,C4SP3
693,HybRatio
694,FCSP3
695,Xch-3d
696,Xch-4d
697,Xch-5d
698,Xch-6d
699,Xch-7d
700,Xch-3dv
701,Xch-4dv
702,Xch-5dv
703,Xch-6dv
704,Xch-7dv
705,Xc-3d
706,Xc-4d
707,Xc-5d
708,Xc-6d
709,Xc-4dv
710,Xc-6dv
711,Xpc-4d
712,Xpc-5d
713,Xpc-6d
714,Xp-0d
715,Xp-1d
716,Xp-2d
717,Xp-3d
718,Xp-4d
719,Xp-5d
720,Xp-6d
721,Xp-7d
722,AXp-0d
723,AXp-1d
724,AXp-2d
725,AXp-3d
726,AXp-4d
727,AXp-5d
728,SZ
729,Sm
730,Sv
731,Sse
732,Spe
733,Sare
734,Sp
735,Si
736,MZ
737,Mm
738,Mv
739,Mse
740,Mpe
741,Mare
742,Mp
743,Mi
744,SpAbs_D
745,SpMax_D
746,SpDiam_D
747,SpAD_D
748,SpMAD_D
749,LogEE_D
750,VE1_D
751,VE2_D
752,VE3_D
753,VR1_D
754,VR2_D
755,VR3_D
756,NsssB
757,NsCH3
758,NdCH2
759,NssCH2
760,NtCH
761,NdsCH
762,NaaCH
763,NsssCH
764,NddC
765,NtsC
766,NdssC
767,NaasC
768,NaaaC
769,NssssC
770,NsNH3
771,NsNH2
772,NssNH2
773,NdNH
774,NssNH
775,NaaNH
776,NtN
777,NsssNH
778,NdsN
779,NaaN
780,NsssN
781,NddsN
782,NaasN
783,NssssN
784,NsOH
785,NdO
786,NssO
787,NaaO
788,NsF
789,NssssSi
790,NdsssP
791,NsSH
792,NdS
793,NssS
794,NaaS
795,NdssS
796,NddssS
797,NsCl
798,NsBr
799,NsI
800,SsssB
801,SsCH3
802,SdCH2
803,SssCH2
804,StCH
805,SdsCH
806,SaaCH
807,SsssCH
808,SddC
809,StsC
810,SdssC
811,SaasC
812,SaaaC
813,SssssC
814,SsNH3
815,SsNH2
816,SssNH2
817,SdNH
818,SssNH
819,SaaNH
820,StN
821,SsssNH
822,SdsN
823,SaaN
824,SsssN
825,SddsN
826,SaasN
827,SssssN
828,SsOH
829,SdO
830,SssO
831,SaaO
832,SsF
833,SssssSi
834,SdsssP
835,SsSH
836,SdS
837,SssS
838,SaaS
839,SdssS
840,SddssS
841,SsCl
842,SsBr
843,SsI
844,ECIndex
845,ETA_alpha
846,AETA_alpha
847,ETA_shape_p
848,ETA_shape_y
849,ETA_shape_x
850,ETA_beta
851,AETA_beta
852,ETA_beta_s
853,AETA_beta_s
854,ETA_beta_ns
855,AETA_beta_ns
856,ETA_beta_ns_d
857,AETA_beta_ns_d
858,ETA_eta
859,AETA_eta
860,ETA_eta_L
861,AETA_eta_L
862,ETA_eta_R
863,AETA_eta_R
864,ETA_eta_RL
865,AETA_eta_RL
866,ETA_eta_F
867,AETA_eta_F
868,ETA_eta_FL
869,AETA_eta_FL
870,ETA_eta_B
871,AETA_eta_B
872,ETA_eta_BR
873,AETA_eta_BR
874,ETA_dAlpha_A
875,ETA_dAlpha_B
876,ETA_epsilon_1
877,ETA_epsilon_2
878,ETA_epsilon_3
879,ETA_epsilon_4
880,ETA_epsilon_5
881,ETA_dEpsilon_A
882,ETA_dEpsilon_B
883,ETA_dEpsilon_C
884,ETA_dEpsilon_D
885,ETA_dBeta
886,AETA_dBeta
887,ETA_psi_1
888,ETA_dPsi_A
889,ETA_dPsi_B
890,fragCpx
891,fMF
892,nHBAcc
893,nHBDon
894,IC0
895,IC1
896,IC2
897,IC3
898,IC4
899,IC5
900,TIC0
901,TIC1
902,TIC2
903,TIC3
904,TIC4
905,TIC5
906,SIC0
907,SIC1
908,SIC2
909,SIC3
910,SIC4
911,SIC5
912,BIC0
913,BIC1
914,BIC2
915,BIC3
916,BIC4
917,BIC5
918,CIC0
919,CIC1
920,CIC2
921,CIC3
922,CIC4
923,CIC5
924,MIC0
925,MIC1
926,MIC2
927,MIC3
928,MIC4
929,MIC5
930,ZMIC0
931,ZMIC1
932,ZMIC2
933,ZMIC3
934,ZMIC4
935,ZMIC5
936,Kier1
937,Kier2
938,Kier3
939,Lipinski
940,GhoseFilter
941,FilterItLogS
942,VMcGowan
943,LabuteASA
944,PEOE_VSA1
945,PEOE_VSA2
946,PEOE_VSA3
947,PEOE_VSA4
948,PEOE_VSA5
949,PEOE_VSA6
950,PEOE_VSA7
951,PEOE_VSA8
952,PEOE_VSA9
953,PEOE_VSA10
954,PEOE_VSA11
955,PEOE_VSA12
956,PEOE_VSA13
957,SMR_VSA1
958,SMR_VSA2
959,SMR_VSA3
960,SMR_VSA4
961,SMR_VSA5
962,SMR_VSA6
963,SMR_VSA7
964,SMR_VSA9
965,SlogP_VSA1
966,SlogP_VSA2
967,SlogP_VSA3
968,SlogP_VSA4
969,SlogP_VSA5
970,SlogP_VSA6
971,SlogP_VSA7
972,SlogP_VSA8
973,SlogP_VSA10
974,SlogP_VSA11
975,EState_VSA1
976,EState_VSA2
977,EState_VSA3
978,EState_VSA4
979,EState_VSA5
980,EState_VSA6
981,EState_VSA7
982,EState_VSA8
983,EState_VSA9
984,EState_VSA10
985,VSA_EState1
986,VSA_EState2
987,VSA_EState3
988,VSA_EState4
989,VSA_EState5
990,VSA_EState6
991,VSA_EState7
992,VSA_EState8
993,VSA_EState9
994,MID
995,AMID
996,MID_h
997,AMID_h
998,MID_C
999,AMID_C
1000,MID_N
1001,AMID_N
1002,MID_O
1003,AMID_O
1004,MID_X
1005,AMID_X
1006,MPC2
1007,MPC3
1008,MPC4
1009,MPC5
1010,MPC6
1011,MPC7
1012,MPC8
1013,MPC9
1014,MPC10
1015,TMPC10
1016,piPC1
1017,piPC2
1018,piPC3
1019,piPC4
1020,piPC5
1021,piPC6
1022,piPC7
1023,piPC8
1024,piPC9
1025,piPC10
1026,TpiPC10
1027,apol
1028,bpol
1029,nRing
1030,n3Ring
1031,n4Ring
1032,n5Ring
1033,n6Ring
1034,n7Ring
1035,n8Ring
1036,n9Ring
1037,n11Ring
1038,n12Ring
1039,nG12Ring
1040,nHRing
1041,n3HRing
1042,n4HRing
1043,n5HRing
1044,n6HRing
1045,n7HRing
1046,n8HRing
1047,n9HRing
1048,n11HRing
1049,n12HRing
1050,nG12HRing
1051,naRing
1052,n4aRing
1053,n5aRing
1054,n6aRing
1055,n7aRing
1056,nG12aRing
1057,naHRing
1058,n5aHRing
1059,n6aHRing
1060,nG12aHRing
1061,nARing
1062,n3ARing
1063,n4ARing
1064,n5ARing
1065,n6ARing
1066,n7ARing
1067,n8ARing
1068,n9ARing
1069,n11ARing
1070,n12ARing
1071,nG12ARing
1072,nAHRing
1073,n3AHRing
1074,n4AHRing
1075,n5AHRing
1076,n6AHRing
1077,n7AHRing
1078,n8AHRing
1079,n9AHRing
1080,n11AHRing
1081,n12AHRing
1082,nG12AHRing
1083,nFRing
1084,n6FRing
1085,n7FRing
1086,n8FRing
1087,n9FRing
1088,n10FRing
1089,n11FRing
1090,n12FRing
1091,nG12FRing
1092,nFHRing
1093,n6FHRing
1094,n7FHRing
1095,n8FHRing
1096,n9FHRing
1097,n10FHRing
1098,n11FHRing
1099,n12FHRing
1100,nG12FHRing
1101,nFaRing
1102,n8FaRing
1103,n9FaRing
1104,n10FaRing
1105,n12FaRing
1106,nG12FaRing
1107,nFaHRing
1108,n8FaHRing
1109,n9FaHRing
1110,n10FaHRing
1111,n12FaHRing
1112,nG12FaHRing
1113,nFARing
1114,n6FARing
1115,n7FARing
1116,n8FARing
1117,n9FARing
1118,n10FARing
1119,n11FARing
1120,n12FARing
1121,nG12FARing
1122,nFAHRing
1123,n6FAHRing
1124,n7FAHRing
1125,n8FAHRing
1126,n9FAHRing
1127,n10FAHRing
1128,n11FAHRing
1129,n12FAHRing
1130,nG12FAHRing
1131,nRot
1132,RotRatio
1133,SLogP
1134,SMR
1135,TopoPSA(NO)
1136,TopoPSA
1137,GGI1
1138,GGI2
1139,GGI3
1140,GGI4
1141,GGI5
1142,GGI6
1143,GGI7
1144,GGI8
1145,GGI9
1146,GGI10
1147,JGI1
1148,JGI2
1149,JGI3
1150,JGI4
1151,JGI5
1152,JGI6
1153,JGI7
1154,JGI8
1155,JGI9
1156,JGI10
1157,JGT10
1158,Diameter
1159,Radius
1160,TopoShapeIndex
1161,PetitjeanIndex
1162,VAdjMat
1163,MWC01
1164,MWC02
1165,MWC03
1166,MWC04
1167,MWC05
1168,MWC06
1169,MWC07
1170,MWC08
1171,MWC09
1172,MWC10
1173,TMWC10
1174,SRW02
1175,SRW03
1176,SRW04
1177,SRW05
1178,SRW06
1179,SRW07
1180,SRW08
1181,SRW09
1182,SRW10
1183,TSRW10
1184,MW
1185,AMW
1186,WPath
1187,WPol
1188,Zagreb1
1189,Zagreb2
1190,mZagreb1
1191,mZagreb2
1192,UNIQUETT
1193,UNIQUEAP
1194,CHIRAL_COUNT
1195,CHIRAL_ALLATOM_RATIO
